2019-04-02 09:03:47,992 p=7562 u=student |  ERROR! Incorrect options passed
2019-04-04 06:03:07,595 p=8092 u=student |  ok: [utility.lab.example.com] => {
    "ansible_facts": {
        "ansible_all_ipv4_addresses": [
            "172.25.250.8"
        ],
        "ansible_all_ipv6_addresses": [
            "fe80::5054:ff:fe00:fa08"
        ],
        "ansible_apparmor": {
            "status": "disabled"
        },
        "ansible_architecture": "x86_64",
        "ansible_bios_date": "NA",
        "ansible_bios_version": "Bochs",
        "ansible_cmdline": {
            "BOOT_IMAGE": "/boot/vmlinuz-3.10.0-957.el7.x86_64",
            "LANG": "en_US.UTF-8",
            "console": "ttyS0,115200n8",
            "crashkernel": "auto",
            "net.ifnames": "0",
            "no_timer_check": true,
            "ro": true,
            "root": "UUID=6c248666-70f5-4037-8b24-17100c2f5c1e"
        },
        "ansible_date_time": {
            "date": "2019-04-04",
            "day": "04",
            "epoch": "1554372187",
            "hour": "10",
            "iso8601": "2019-04-04T10:03:07Z",
            "iso8601_basic": "20190404T100307511268",
            "iso8601_basic_short": "20190404T100307",
            "iso8601_micro": "2019-04-04T10:03:07.511574Z",
            "minute": "03",
            "month": "04",
            "second": "07",
            "time": "10:03:07",
            "tz": "UTC",
            "tz_offset": "+0000",
            "weekday": "Thursday",
            "weekday_number": "4",
            "weeknumber": "13",
            "year": "2019"
        },
        "ansible_default_ipv4": {
            "address": "172.25.250.8",
            "alias": "eth0",
            "broadcast": "172.25.250.255",
            "gateway": "172.25.250.254",
            "interface": "eth0",
            "macaddress": "52:54:00:00:fa:08",
            "mtu": 1500,
            "netmask": "255.255.255.0",
            "network": "172.25.250.0",
            "type": "ether"
        },
        "ansible_default_ipv6": {},
        "ansible_device_links": {
            "ids": {
                "sr0": [
                    "ata-QEMU_DVD-ROM_QM00003"
                ]
            },
            "labels": {},
            "masters": {},
            "uuids": {
                "vda1": [
                    "6c248666-70f5-4037-8b24-17100c2f5c1e"
                ]
            }
        },
        "ansible_devices": {
            "fd0": {
                "holders": [],
                "host": "",
                "links": {
                    "ids": [],
                    "labels": [],
                    "masters": [],
                    "uuids": []
                },
                "model": null,
                "partitions": {},
                "removable": "1",
                "rotational": "1",
                "sas_address": null,
                "sas_device_handle": null,
                "scheduler_mode": "deadline",
                "sectors": "8",
                "sectorsize": "512",
                "size": "4.00 KB",
                "support_discard": "0",
                "vendor": null,
                "virtual": 1
            },
            "sr0": {
                "holders": [],
                "host": "IDE interface: Intel Corporation 82371SB PIIX3 IDE [Natoma/Triton II]",
                "links": {
                    "ids": [
                        "ata-QEMU_DVD-ROM_QM00003"
                    ],
                    "labels": [],
                    "masters": [],
                    "uuids": []
                },
                "model": "QEMU DVD-ROM",
                "partitions": {},
                "removable": "1",
                "rotational": "1",
                "sas_address": null,
                "sas_device_handle": null,
                "scheduler_mode": "deadline",
                "sectors": "2097151",
                "sectorsize": "512",
                "size": "1024.00 MB",
                "support_discard": "0",
                "vendor": "QEMU",
                "virtual": 1
            },
            "vda": {
                "holders": [],
                "host": "SCSI storage controller: Red Hat, Inc. Virtio block device",
                "links": {
                    "ids": [],
                    "labels": [],
                    "masters": [],
                    "uuids": []
                },
                "model": null,
                "partitions": {
                    "vda1": {
                        "holders": [],
                        "links": {
                            "ids": [],
                            "labels": [],
                            "masters": [],
                            "uuids": [
                                "6c248666-70f5-4037-8b24-17100c2f5c1e"
                            ]
                        },
                        "sectors": "20969439",
                        "sectorsize": 512,
                        "size": "10.00 GB",
                        "start": "2048",
                        "uuid": "6c248666-70f5-4037-8b24-17100c2f5c1e"
                    }
                },
                "removable": "0",
                "rotational": "1",
                "sas_address": null,
                "sas_device_handle": null,
                "scheduler_mode": "mq-deadline",
                "sectors": "20971520",
                "sectorsize": "512",
                "size": "10.00 GB",
                "support_discard": "0",
                "vendor": "0x1af4",
                "virtual": 1
            }
        },
        "ansible_distribution": "RedHat",
        "ansible_distribution_file_parsed": true,
        "ansible_distribution_file_path": "/etc/redhat-release",
        "ansible_distribution_file_search_string": "Red Hat",
        "ansible_distribution_file_variety": "RedHat",
        "ansible_distribution_major_version": "7",
        "ansible_distribution_release": "Maipo",
        "ansible_distribution_version": "7.6",
        "ansible_dns": {
            "nameservers": [
                "127.0.0.1"
            ],
            "search": [
                "lab.example.io"
            ]
        },
        "ansible_domain": "lab.example.com",
        "ansible_effective_group_id": 1000,
        "ansible_effective_user_id": 1000,
        "ansible_env": {
            "HOME": "/home/student",
            "LANG": "en_US.UTF-8",
            "LC_CTYPE": "en_US.UTF-8",
            "LESSOPEN": "||/usr/bin/lesspipe.sh %s",
            "LOGNAME": "student",
            "LS_COLORS": "rs=0:di=38;5;27:ln=38;5;51:mh=44;38;5;15:pi=40;38;5;11:so=38;5;13:do=38;5;5:bd=48;5;232;38;5;11:cd=48;5;232;38;5;3:or=48;5;232;38;5;9:mi=05;48;5;232;38;5;15:su=48;5;196;38;5;15:sg=48;5;11;38;5;16:ca=48;5;196;38;5;226:tw=48;5;10;38;5;16:ow=48;5;10;38;5;21:st=48;5;21;38;5;15:ex=38;5;34:*.tar=38;5;9:*.tgz=38;5;9:*.arc=38;5;9:*.arj=38;5;9:*.taz=38;5;9:*.lha=38;5;9:*.lz4=38;5;9:*.lzh=38;5;9:*.lzma=38;5;9:*.tlz=38;5;9:*.txz=38;5;9:*.tzo=38;5;9:*.t7z=38;5;9:*.zip=38;5;9:*.z=38;5;9:*.Z=38;5;9:*.dz=38;5;9:*.gz=38;5;9:*.lrz=38;5;9:*.lz=38;5;9:*.lzo=38;5;9:*.xz=38;5;9:*.bz2=38;5;9:*.bz=38;5;9:*.tbz=38;5;9:*.tbz2=38;5;9:*.tz=38;5;9:*.deb=38;5;9:*.rpm=38;5;9:*.jar=38;5;9:*.war=38;5;9:*.ear=38;5;9:*.sar=38;5;9:*.rar=38;5;9:*.alz=38;5;9:*.ace=38;5;9:*.zoo=38;5;9:*.cpio=38;5;9:*.7z=38;5;9:*.rz=38;5;9:*.cab=38;5;9:*.jpg=38;5;13:*.jpeg=38;5;13:*.gif=38;5;13:*.bmp=38;5;13:*.pbm=38;5;13:*.pgm=38;5;13:*.ppm=38;5;13:*.tga=38;5;13:*.xbm=38;5;13:*.xpm=38;5;13:*.tif=38;5;13:*.tiff=38;5;13:*.png=38;5;13:*.svg=38;5;13:*.svgz=38;5;13:*.mng=38;5;13:*.pcx=38;5;13:*.mov=38;5;13:*.mpg=38;5;13:*.mpeg=38;5;13:*.m2v=38;5;13:*.mkv=38;5;13:*.webm=38;5;13:*.ogm=38;5;13:*.mp4=38;5;13:*.m4v=38;5;13:*.mp4v=38;5;13:*.vob=38;5;13:*.qt=38;5;13:*.nuv=38;5;13:*.wmv=38;5;13:*.asf=38;5;13:*.rm=38;5;13:*.rmvb=38;5;13:*.flc=38;5;13:*.avi=38;5;13:*.fli=38;5;13:*.flv=38;5;13:*.gl=38;5;13:*.dl=38;5;13:*.xcf=38;5;13:*.xwd=38;5;13:*.yuv=38;5;13:*.cgm=38;5;13:*.emf=38;5;13:*.axv=38;5;13:*.anx=38;5;13:*.ogv=38;5;13:*.ogx=38;5;13:*.aac=38;5;45:*.au=38;5;45:*.flac=38;5;45:*.mid=38;5;45:*.midi=38;5;45:*.mka=38;5;45:*.mp3=38;5;45:*.mpc=38;5;45:*.ogg=38;5;45:*.ra=38;5;45:*.wav=38;5;45:*.axa=38;5;45:*.oga=38;5;45:*.spx=38;5;45:*.xspf=38;5;45:",
            "MAIL": "/var/mail/student",
            "PATH": "/usr/local/bin:/usr/bin",
            "PWD": "/home/student",
            "SELINUX_LEVEL_REQUESTED": "",
            "SELINUX_ROLE_REQUESTED": "",
            "SELINUX_USE_CURRENT_RANGE": "",
            "SHELL": "/bin/bash",
            "SHLVL": "2",
            "SSH_CLIENT": "172.25.250.9 52098 22",
            "SSH_CONNECTION": "172.25.250.9 52098 172.25.250.8 22",
            "SSH_TTY": "/dev/pts/1",
            "TERM": "xterm-256color",
            "USER": "student",
            "XDG_RUNTIME_DIR": "/run/user/1000",
            "XDG_SESSION_ID": "48",
            "_": "/usr/bin/python"
        },
        "ansible_eth0": {
            "active": true,
            "device": "eth0",
            "features": {
                "busy_poll": "off [fixed]",
                "fcoe_mtu": "off [fixed]",
                "generic_receive_offload": "on",
                "generic_segmentation_offload": "on",
                "highdma": "on [fixed]",
                "hw_tc_offload": "off [fixed]",
                "l2_fwd_offload": "off [fixed]",
                "large_receive_offload": "off [fixed]",
                "loopback": "off [fixed]",
                "netns_local": "off [fixed]",
                "ntuple_filters": "off [fixed]",
                "receive_hashing": "off [fixed]",
                "rx_all": "off [fixed]",
                "rx_checksumming": "on [fixed]",
                "rx_fcs": "off [fixed]",
                "rx_gro_hw": "off [fixed]",
                "rx_udp_tunnel_port_offload": "off [fixed]",
                "rx_vlan_filter": "on [fixed]",
                "rx_vlan_offload": "off [fixed]",
                "rx_vlan_stag_filter": "off [fixed]",
                "rx_vlan_stag_hw_parse": "off [fixed]",
                "scatter_gather": "on",
                "tcp_segmentation_offload": "on",
                "tx_checksum_fcoe_crc": "off [fixed]",
                "tx_checksum_ip_generic": "on",
                "tx_checksum_ipv4": "off [fixed]",
                "tx_checksum_ipv6": "off [fixed]",
                "tx_checksum_sctp": "off [fixed]",
                "tx_checksumming": "on",
                "tx_fcoe_segmentation": "off [fixed]",
                "tx_gre_csum_segmentation": "off [fixed]",
                "tx_gre_segmentation": "off [fixed]",
                "tx_gso_partial": "off [fixed]",
                "tx_gso_robust": "off [fixed]",
                "tx_ipip_segmentation": "off [fixed]",
                "tx_lockless": "off [fixed]",
                "tx_nocache_copy": "off",
                "tx_scatter_gather": "on",
                "tx_scatter_gather_fraglist": "off [fixed]",
                "tx_sctp_segmentation": "off [fixed]",
                "tx_sit_segmentation": "off [fixed]",
                "tx_tcp6_segmentation": "on",
                "tx_tcp_ecn_segmentation": "on",
                "tx_tcp_mangleid_segmentation": "off",
                "tx_tcp_segmentation": "on",
                "tx_udp_tnl_csum_segmentation": "off [fixed]",
                "tx_udp_tnl_segmentation": "off [fixed]",
                "tx_vlan_offload": "off [fixed]",
                "tx_vlan_stag_hw_insert": "off [fixed]",
                "udp_fragmentation_offload": "on",
                "vlan_challenged": "off [fixed]"
            },
            "hw_timestamp_filters": [],
            "ipv4": {
                "address": "172.25.250.8",
                "broadcast": "172.25.250.255",
                "netmask": "255.255.255.0",
                "network": "172.25.250.0"
            },
            "ipv6": [
                {
                    "address": "fe80::5054:ff:fe00:fa08",
                    "prefix": "64",
                    "scope": "link"
                }
            ],
            "macaddress": "52:54:00:00:fa:08",
            "module": "virtio_net",
            "mtu": 1500,
            "pciid": "virtio0",
            "promisc": false,
            "timestamping": [
                "rx_software",
                "software"
            ],
            "type": "ether"
        },
        "ansible_fibre_channel_wwn": [],
        "ansible_fips": false,
        "ansible_form_factor": "Other",
        "ansible_fqdn": "utility.lab.example.com",
        "ansible_hostname": "utility",
        "ansible_hostnqn": "",
        "ansible_interfaces": [
            "lo",
            "eth0"
        ],
        "ansible_is_chroot": true,
        "ansible_iscsi_iqn": "",
        "ansible_kernel": "3.10.0-957.el7.x86_64",
        "ansible_lo": {
            "active": true,
            "device": "lo",
            "features": {
                "busy_poll": "off [fixed]",
                "fcoe_mtu": "off [fixed]",
                "generic_receive_offload": "on",
                "generic_segmentation_offload": "on",
                "highdma": "on [fixed]",
                "hw_tc_offload": "off [fixed]",
                "l2_fwd_offload": "off [fixed]",
                "large_receive_offload": "off [fixed]",
                "loopback": "on [fixed]",
                "netns_local": "on [fixed]",
                "ntuple_filters": "off [fixed]",
                "receive_hashing": "off [fixed]",
                "rx_all": "off [fixed]",
                "rx_checksumming": "on [fixed]",
                "rx_fcs": "off [fixed]",
                "rx_gro_hw": "off [fixed]",
                "rx_udp_tunnel_port_offload": "off [fixed]",
                "rx_vlan_filter": "off [fixed]",
                "rx_vlan_offload": "off [fixed]",
                "rx_vlan_stag_filter": "off [fixed]",
                "rx_vlan_stag_hw_parse": "off [fixed]",
                "scatter_gather": "on",
                "tcp_segmentation_offload": "on",
                "tx_checksum_fcoe_crc": "off [fixed]",
                "tx_checksum_ip_generic": "on [fixed]",
                "tx_checksum_ipv4": "off [fixed]",
                "tx_checksum_ipv6": "off [fixed]",
                "tx_checksum_sctp": "on [fixed]",
                "tx_checksumming": "on",
                "tx_fcoe_segmentation": "off [fixed]",
                "tx_gre_csum_segmentation": "off [fixed]",
                "tx_gre_segmentation": "off [fixed]",
                "tx_gso_partial": "off [fixed]",
                "tx_gso_robust": "off [fixed]",
                "tx_ipip_segmentation": "off [fixed]",
                "tx_lockless": "on [fixed]",
                "tx_nocache_copy": "off [fixed]",
                "tx_scatter_gather": "on [fixed]",
                "tx_scatter_gather_fraglist": "on [fixed]",
                "tx_sctp_segmentation": "on",
                "tx_sit_segmentation": "off [fixed]",
                "tx_tcp6_segmentation": "on",
                "tx_tcp_ecn_segmentation": "on",
                "tx_tcp_mangleid_segmentation": "on",
                "tx_tcp_segmentation": "on",
                "tx_udp_tnl_csum_segmentation": "off [fixed]",
                "tx_udp_tnl_segmentation": "off [fixed]",
                "tx_vlan_offload": "off [fixed]",
                "tx_vlan_stag_hw_insert": "off [fixed]",
                "udp_fragmentation_offload": "on",
                "vlan_challenged": "on [fixed]"
            },
            "hw_timestamp_filters": [],
            "ipv4": {
                "address": "127.0.0.1",
                "broadcast": "host",
                "netmask": "255.0.0.0",
                "network": "127.0.0.0"
            },
            "ipv6": [
                {
                    "address": "::1",
                    "prefix": "128",
                    "scope": "host"
                }
            ],
            "mtu": 65536,
            "promisc": false,
            "timestamping": [
                "rx_software",
                "software"
            ],
            "type": "loopback"
        },
        "ansible_local": {},
        "ansible_lsb": {},
        "ansible_machine": "x86_64",
        "ansible_machine_id": "155835a177864f748260540e4e6b5794",
        "ansible_memfree_mb": 138,
        "ansible_memory_mb": {
            "nocache": {
                "free": 942,
                "used": 2847
            },
            "real": {
                "free": 138,
                "total": 3789,
                "used": 3651
            },
            "swap": {
                "cached": 0,
                "free": 0,
                "total": 0,
                "used": 0
            }
        },
        "ansible_memtotal_mb": 3789,
        "ansible_mounts": [
            {
                "block_available": 1434281,
                "block_size": 4096,
                "block_total": 2618619,
                "block_used": 1184338,
                "device": "/dev/vda1",
                "fstype": "xfs",
                "inode_available": 5101222,
                "inode_total": 5242304,
                "inode_used": 141082,
                "mount": "/",
                "options": "rw,seclabel,relatime,attr2,inode64,noquota",
                "size_available": 5874814976,
                "size_total": 10725863424,
                "uuid": "6c248666-70f5-4037-8b24-17100c2f5c1e"
            }
        ],
        "ansible_nodename": "utility.lab.example.com",
        "ansible_os_family": "RedHat",
        "ansible_pkg_mgr": "yum",
        "ansible_proc_cmdline": {
            "BOOT_IMAGE": "/boot/vmlinuz-3.10.0-957.el7.x86_64",
            "LANG": "en_US.UTF-8",
            "console": [
                "tty0",
                "ttyS0,115200n8"
            ],
            "crashkernel": "auto",
            "net.ifnames": "0",
            "no_timer_check": true,
            "ro": true,
            "root": "UUID=6c248666-70f5-4037-8b24-17100c2f5c1e"
        },
        "ansible_processor": [
            "0",
            "GenuineIntel",
            "Intel(R) Core(TM)2 Duo CPU     T7700  @ 2.40GHz",
            "1",
            "GenuineIntel",
            "Intel(R) Core(TM)2 Duo CPU     T7700  @ 2.40GHz"
        ],
        "ansible_processor_cores": 1,
        "ansible_processor_count": 2,
        "ansible_processor_threads_per_core": 1,
        "ansible_processor_vcpus": 2,
        "ansible_product_name": "Bochs",
        "ansible_product_serial": "NA",
        "ansible_product_uuid": "NA",
        "ansible_product_version": "NA",
        "ansible_python": {
            "executable": "/usr/bin/python",
            "has_sslcontext": true,
            "type": "CPython",
            "version": {
                "major": 2,
                "micro": 5,
                "minor": 7,
                "releaselevel": "final",
                "serial": 0
            },
            "version_info": [
                2,
                7,
                5,
                "final",
                0
            ]
        },
        "ansible_python_version": "2.7.5",
        "ansible_real_group_id": 1000,
        "ansible_real_user_id": 1000,
        "ansible_selinux": {
            "config_mode": "enforcing",
            "mode": "enforcing",
            "policyvers": 31,
            "status": "enabled",
            "type": "targeted"
        },
        "ansible_selinux_python_present": true,
        "ansible_service_mgr": "systemd",
        "ansible_ssh_host_key_ecdsa_public": "AAAAE2VjZHNhLXNoYTItbmlzdHAyNTYAAAAIbmlzdHAyNTYAAABBBB+vkyWaeobLSfq3j01F8BarlzyoWc6dAp2dDpNLWkZZ5p/7jx84udPW2pVgdC4Y1HHSkGH3wuRAP63NBfHRA3c=",
        "ansible_ssh_host_key_ed25519_public": "AAAAC3NzaC1lZDI1NTE5AAAAIAEuevxlGAjEdyyHI5YQbtiQex/CGGIJ63PuGj5Qs0jZ",
        "ansible_ssh_host_key_rsa_public": "AAAAB3NzaC1yc2EAAAADAQABAAABAQCnG1u8gVSJXndO1CDI3Z7TEzpd92bLeb+P7XbNM+i88TO9S/XGHHEhQspU9uafsQ4mhp/im2PyU4yqVlamfJ5B+Q/zzXwxkfx8DDqmY9thluqsXMSbyhq/KWtHguIJC/1dFN78nOjLhG2hevD/5tzQYfz03HuvjvB198C4kAGTiIJZM0t1E5e2AIWSXachPF9H64ITKZLHDDpjZJe926/ZYWswj8LAXFlKRfTBBwhOM+C0KW0JbYaLYNYn/5lrSIhEtVnl1EsBmensX0nXASufnXVYFkk1GqQQRLWvAsGU0o7Ny0c8XDGlajDkC9tMtWcii94H3ItvxTytnpHOyhqT",
        "ansible_swapfree_mb": 0,
        "ansible_swaptotal_mb": 0,
        "ansible_system": "Linux",
        "ansible_system_capabilities": [
            ""
        ],
        "ansible_system_capabilities_enforced": "True",
        "ansible_system_vendor": "Bochs",
        "ansible_uptime_seconds": 12700,
        "ansible_user_dir": "/home/student",
        "ansible_user_gecos": "Student User",
        "ansible_user_gid": 1000,
        "ansible_user_id": "student",
        "ansible_user_shell": "/bin/bash",
        "ansible_user_uid": 1000,
        "ansible_userspace_architecture": "x86_64",
        "ansible_userspace_bits": "64",
        "ansible_virtualization_role": "guest",
        "ansible_virtualization_type": "kvm",
        "discovered_interpreter_python": "/usr/bin/python",
        "gather_subset": [
            "all"
        ],
        "module_setup": true
    },
    "changed": false
}
2019-04-04 06:03:07,599 p=8092 u=student |  META: ran handlers
2019-04-04 06:03:07,628 p=8092 u=student |  TASK [Create do447 project] *************************************************************************************************************************************************
2019-04-04 06:03:07,628 p=8092 u=student |  task path: /home/student/ansible/linux/do447/create_gitlab_project.yml:7
2019-04-04 06:03:07,628 p=8092 u=student |  Thursday 04 April 2019  06:03:07 -0400 (0:00:02.585)       0:00:02.659 ******** 
2019-04-04 06:03:07,655 p=8092 u=student |  <localhost> ESTABLISH LOCAL CONNECTION FOR USER: student
2019-04-04 06:03:07,656 p=8092 u=student |  <localhost> EXEC /bin/sh -c 'echo ~student && sleep 0'
2019-04-04 06:03:07,670 p=8092 u=student |  <localhost> EXEC /bin/sh -c '( umask 77 && mkdir -p "` echo /home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422 `" && echo ansible-tmp-1554372187.6539752-194402320231422="` echo /home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422 `" ) && sleep 0'
2019-04-04 06:03:08,036 p=8092 u=student |  Using module file /usr/lib/python3.6/site-packages/ansible/modules/source_control/gitlab_project.py
2019-04-04 06:03:08,038 p=8092 u=student |  <localhost> PUT /home/student/.ansible/tmp/ansible-local-80925eb10257/tmpuyujndad TO /home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/AnsiballZ_gitlab_project.py
2019-04-04 06:03:08,040 p=8092 u=student |  <localhost> EXEC /bin/sh -c 'chmod u+x /home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/ /home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/AnsiballZ_gitlab_project.py && sleep 0'
2019-04-04 06:03:08,056 p=8092 u=student |  <localhost> EXEC /bin/sh -c '/usr/libexec/platform-python /home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/AnsiballZ_gitlab_project.py && sleep 0'
2019-04-04 06:03:08,614 p=8092 u=student |  <localhost> EXEC /bin/sh -c 'rm -f -r /home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/ > /dev/null 2>&1 && sleep 0'
2019-04-04 06:03:08,638 p=8092 u=student |  The full traceback is:
Traceback (most recent call last):
  File "/tmp/ansible_gitlab_project_payload_3lr2c9z6/__main__.py", line 369, in main
TypeError: __init__() got an unexpected keyword argument 'url'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/AnsiballZ_gitlab_project.py", line 114, in <module>
    _ansiballz_main()
  File "/home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/AnsiballZ_gitlab_project.py", line 106, in _ansiballz_main
    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)
  File "/home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/AnsiballZ_gitlab_project.py", line 49, in invoke_module
    imp.load_module('__main__', mod, module, MOD_DESC)
  File "/usr/lib64/python3.6/imp.py", line 235, in load_module
    return load_source(name, filename, file)
  File "/usr/lib64/python3.6/imp.py", line 170, in load_source
    module = _exec(spec, sys.modules[name])
  File "<frozen importlib._bootstrap>", line 618, in _exec
  File "<frozen importlib._bootstrap_external>", line 678, in exec_module
  File "<frozen importlib._bootstrap>", line 219, in _call_with_frames_removed
  File "/tmp/ansible_gitlab_project_payload_3lr2c9z6/__main__.py", line 419, in <module>
  File "/tmp/ansible_gitlab_project_payload_3lr2c9z6/__main__.py", line 371, in main
AttributeError: module 'gitlab.exceptions' has no attribute 'GitlabAuthenticationError'

2019-04-04 06:03:08,639 p=8092 u=student |  fatal: [utility.lab.example.com]: FAILED! => {
    "changed": false,
    "module_stderr": "Traceback (most recent call last):\n  File \"/tmp/ansible_gitlab_project_payload_3lr2c9z6/__main__.py\", line 369, in main\nTypeError: __init__() got an unexpected keyword argument 'url'\n\nDuring handling of the above exception, another exception occurred:\n\nTraceback (most recent call last):\n  File \"/home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/AnsiballZ_gitlab_project.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/AnsiballZ_gitlab_project.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/home/student/.ansible/tmp/ansible-tmp-1554372187.6539752-194402320231422/AnsiballZ_gitlab_project.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/usr/lib64/python3.6/imp.py\", line 235, in load_module\n    return load_source(name, filename, file)\n  File \"/usr/lib64/python3.6/imp.py\", line 170, in load_source\n    module = _exec(spec, sys.modules[name])\n  File \"<frozen importlib._bootstrap>\", line 618, in _exec\n  File \"<frozen importlib._bootstrap_external>\", line 678, in exec_module\n  File \"<frozen importlib._bootstrap>\", line 219, in _call_with_frames_removed\n  File \"/tmp/ansible_gitlab_project_payload_3lr2c9z6/__main__.py\", line 419, in <module>\n  File \"/tmp/ansible_gitlab_project_payload_3lr2c9z6/__main__.py\", line 371, in main\nAttributeError: module 'gitlab.exceptions' has no attribute 'GitlabAuthenticationError'\n",
    "module_stdout": "",
    "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error",
    "rc": 1
}
2019-04-04 06:03:08,643 p=8092 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 06:03:08,643 p=8092 u=student |  utility.lab.example.com    : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2019-04-04 06:03:08,644 p=8092 u=student |  Thursday 04 April 2019  06:03:08 -0400 (0:00:01.015)       0:00:03.674 ******** 
2019-04-04 06:03:08,644 p=8092 u=student |  =============================================================================== 
2019-04-04 06:03:08,645 p=8092 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 2.59s
/home/student/ansible/linux/do447/create_gitlab_project.yml:1 --------------------------------------------------------------------------------------------------------------
2019-04-04 06:03:08,645 p=8092 u=student |  Create do447 project ------------------------------------------------------------------------------------------------------------------------------------------------- 1.02s
/home/student/ansible/linux/do447/create_gitlab_project.yml:7 --------------------------------------------------------------------------------------------------------------
2019-04-04 06:25:53,182 p=3131 u=student |  PLAY [Setup GitLab on utility.lab.example.com] *****************************************************************
2019-04-04 06:25:53,225 p=3131 u=student |  TASK [Gathering Facts] *****************************************************************************************
2019-04-04 06:25:53,226 p=3131 u=student |  Thursday 04 April 2019  06:25:53 -0400 (0:00:00.294)       0:00:00.295 ******** 
2019-04-04 06:25:58,570 p=3131 u=student |  ok: [utility.lab.example.com]
2019-04-04 06:25:58,637 p=3131 u=student |  TASK [Configure firewalld to allow the GitLab WebUI] ***********************************************************
2019-04-04 06:25:58,639 p=3131 u=student |  Thursday 04 April 2019  06:25:58 -0400 (0:00:05.412)       0:00:05.707 ******** 
2019-04-04 06:26:01,555 p=3131 u=student |  changed: [utility.lab.example.com]
2019-04-04 06:26:01,593 p=3131 u=student |  TASK [Install gitlab.rb template] ******************************************************************************
2019-04-04 06:26:01,594 p=3131 u=student |  Thursday 04 April 2019  06:26:01 -0400 (0:00:02.955)       0:00:08.663 ******** 
2019-04-04 06:26:04,987 p=3131 u=student |  changed: [utility.lab.example.com]
2019-04-04 06:26:05,023 p=3131 u=student |  TASK [Install FreeIPA integration file] ************************************************************************
2019-04-04 06:26:05,024 p=3131 u=student |  Thursday 04 April 2019  06:26:05 -0400 (0:00:03.429)       0:00:12.093 ******** 
2019-04-04 06:26:07,591 p=3131 u=student |  changed: [utility.lab.example.com]
2019-04-04 06:26:07,597 p=3131 u=student |  RUNNING HANDLER [Reconfigure GitLab] ***************************************************************************
2019-04-04 06:26:07,598 p=3131 u=student |  Thursday 04 April 2019  06:26:07 -0400 (0:00:02.573)       0:00:14.666 ******** 
2019-04-04 06:28:29,180 p=3131 u=student |  changed: [utility.lab.example.com]
2019-04-04 06:28:29,199 p=3131 u=student |  PLAY RECAP *****************************************************************************************************
2019-04-04 06:28:29,200 p=3131 u=student |  utility.lab.example.com    : ok=5    changed=4    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-04-04 06:28:29,201 p=3131 u=student |  Thursday 04 April 2019  06:28:29 -0400 (0:02:21.603)       0:02:36.270 ******** 
2019-04-04 06:28:29,202 p=3131 u=student |  =============================================================================== 
2019-04-04 06:28:29,203 p=3131 u=student |  Reconfigure GitLab ------------------------------------------------------------------------------------ 141.60s
2019-04-04 06:28:29,203 p=3131 u=student |  Gathering Facts ----------------------------------------------------------------------------------------- 5.41s
2019-04-04 06:28:29,204 p=3131 u=student |  Install gitlab.rb template ------------------------------------------------------------------------------ 3.43s
2019-04-04 06:28:29,205 p=3131 u=student |  Configure firewalld to allow the GitLab WebUI ----------------------------------------------------------- 2.96s
2019-04-04 06:28:29,205 p=3131 u=student |  Install FreeIPA integration file ------------------------------------------------------------------------ 2.57s
2019-04-04 06:30:48,796 p=3352 u=student |  PLAY [utility.lab.example.com] *********************************************************************************
2019-04-04 06:30:48,811 p=3352 u=student |  TASK [Gathering Facts] *****************************************************************************************
2019-04-04 06:30:48,811 p=3352 u=student |  Thursday 04 April 2019  06:30:48 -0400 (0:00:00.071)       0:00:00.071 ******** 
2019-04-04 06:30:51,840 p=3352 u=student |  ok: [utility.lab.example.com]
2019-04-04 06:30:51,876 p=3352 u=student |  TASK [firewalld is enabled and started] ************************************************************************
2019-04-04 06:30:51,876 p=3352 u=student |  Thursday 04 April 2019  06:30:51 -0400 (0:00:03.064)       0:00:03.136 ******** 
